director,movie,rank,year,critic_cn,critic,critic_org
David Lynch, Mulholland Drive ,1,2001,US,Simon Abrams,Freelance film critic
Wong Kar-wai, In the Mood for Love ,2,2000,US,Simon Abrams,Freelance film critic
Terrence Malick, The Tree of Life ,3,2011,US,Simon Abrams,Freelance film critic
Edward Yang, Yi Yi: A One and a Two ,4,2000,US,Simon Abrams,Freelance film critic
Jean-Luc Godard, Goodbye to Language ,5,2014,US,Simon Abrams,Freelance film critic
Mohammad Rasoulof, The White Meadows ,6,2009,US,Simon Abrams,Freelance film critic
Raoul Ruiz, Night Across the Street ,7,2012,US,Simon Abrams,Freelance film critic
Abbas Kiarostami, Certified Copy ,8,2010,US,Simon Abrams,Freelance film critic
Johnnie To, Sparrow ,9,2008,US,Simon Abrams,Freelance film critic
Carlos Saura, Fados ,10,2007,US,Simon Abrams,Freelance film critic
Wong Kar-wai, In the Mood for Love ,1,2000,US,Sam Adams,Freelance film critic
Michel Gondry, Eternal Sunshine of the Spotless Mind ,2,2004,US,Sam Adams,Freelance film critic
Apichatpong Weerasethakul, Syndromes and a Century ,3,2006,US,Sam Adams,Freelance film critic
Hayao Miyazaki, Spirited Away ,4,2001,US,Sam Adams,Freelance film critic
Joshua Oppenheimer, The Act of Killing ,5,2012,US,Sam Adams,Freelance film critic
Wes Anderson, The Grand Budapest Hotel ,6,2014,US,Sam Adams,Freelance film critic
Terrence Malick, The New World ,7,2004,US,Sam Adams,Freelance film critic
Abbas Kiarostami, Certified Copy ,8,2010,US,Sam Adams,Freelance film critic
Jia Zhangke, The World ,9,2004,US,Sam Adams,Freelance film critic
Gus Van Sant, Elephant ,10,2003,US,Sam Adams,Freelance film critic
Kathryn Bigelow, Zero Dark Thirty ,1,2012,US,Thelma Adams,Freelance film critic
David Cronenberg, A History of Violence ,2,2005,US,Thelma Adams,Freelance film critic
Wes Anderson, The Grand Budapest Hotel ,3,2014,US,Thelma Adams,Freelance film critic
Sarah Polley, Stories We Tell ,4,2012,US,Thelma Adams,Freelance film critic
Martin Campbell, Casino Royale ,5,2006,US,Thelma Adams,Freelance film critic
Michel Gondry, Eternal Sunshine of the Spotless Mind ,6,2004,US,Thelma Adams,Freelance film critic
Miguel Gomes, Tabu ,7,2012,US,Thelma Adams,Freelance film critic
Pablo Berger, Snow White ,8,2012,US,Thelma Adams,Freelance film critic
Courtney Hunt, Frozen River ,9,2008,US,Thelma Adams,Freelance film critic
Robert Altman, Gosford Park ,10,2001,US,Thelma Adams,Freelance film critic
Wong Kar-wai, In the Mood for Love ,1,2000,Mexico,Arturo Aguilar,Rolling Stone Mexico
David Lynch, Mulholland Drive ,2,2001,Mexico,Arturo Aguilar,Rolling Stone Mexico
Christopher Nolan, Inception ,3,2010,Mexico,Arturo Aguilar,Rolling Stone Mexico
Guillermo Del Toro, Pan's Labyrinth ,4,2006,Mexico,Arturo Aguilar,Rolling Stone Mexico
Michael Haneke, Caché ,5,2005,Mexico,Arturo Aguilar,Rolling Stone Mexico
Werner Herzog, Grizzly Man ,6,2005,Mexico,Arturo Aguilar,Rolling Stone Mexico
Cristian Mungiu," 4 Months, 3 Weeks & 2 Days ",7,2007,Mexico,Arturo Aguilar,Rolling Stone Mexico
Leos Carax, Holy Motors ,8,2012,Mexico,Arturo Aguilar,Rolling Stone Mexico
Claude Lanzmann, The Last of the Unjust ,9,2013,Mexico,Arturo Aguilar,Rolling Stone Mexico
Paul Thomas Anderson, There Will Be Blood ,10,2007,Mexico,Arturo Aguilar,Rolling Stone Mexico
Michael Haneke, The Piano Teacher ,1,2001,UK,Matthew Anderson,BBC Culture
Kenneth Lonergan, Margaret ,2,2011,UK,Matthew Anderson,BBC Culture
Mary Harron, American Psycho ,3,2000,UK,Matthew Anderson,BBC Culture
Cristian Mungiu," 4 Months, 3 Weeks & 2 Days ",4,2007,UK,Matthew Anderson,BBC Culture
Michael Haneke, Caché ,5,2005,UK,Matthew Anderson,BBC Culture
David Lynch, Mulholland Drive ,6,2001,UK,Matthew Anderson,BBC Culture
Jessica Hausner, Lourdes ,7,2009,UK,Matthew Anderson,BBC Culture
Andrea Arnold, Red Road ,8,2006,UK,Matthew Anderson,BBC Culture
Richard Linklater, Boyhood ,9,2014,UK,Matthew Anderson,BBC Culture
Pablo Larraín, Tony Manero ,10,2008,UK,Matthew Anderson,BBC Culture
Joel and Ethan Coen, No Country For Old Men ,1,2007,US,Tim Appelo,The Wrap
Hayao Miyazaki, Spirited Away ,2,2001,US,Tim Appelo,The Wrap
Asghar Farhadi, A Separation ,3,2011,US,Tim Appelo,The Wrap
Guillermo Del Toro, Pan's Labyrinth ,4,2006,US,Tim Appelo,The Wrap
Andrew Stanton and Lee Unkrich, Finding Nemo ,5,2003,US,Tim Appelo,The Wrap
Zhang Yimou, Hero ,6,2002,US,Tim Appelo,The Wrap
Martin Scorsese, The Wolf of Wall Street ,7,2013,US,Tim Appelo,The Wrap
Bong Joon-ho, Mother ,8,2009,US,Tim Appelo,The Wrap
Paul Greengrass, The Bourne Ultimatum ,9,2007,US,Tim Appelo,The Wrap
Steven Soderbergh, Traffic ,10,2000,US,Tim Appelo,The Wrap
Danièle Huillet and Jean-Marie Straub, These Encounters of Theirs ,1,2006,Italy,Adriano Aprà,Film historian
Marco Bellocchio, Vincere ,2,2009,Italy,Adriano Aprà,Film historian
Michelangelo Frammartino, Le quattro volte ,3,2010,Italy,Adriano Aprà,Film historian
Ermanno Olmi, The Profession of Arms ,4,2001,Italy,Adriano Aprà,Film historian
Paolo Benvenuti, Gostanza da Libbiano ,5,2000,Italy,Adriano Aprà,Film historian
Luigi M. Faccini, Storia di una donna amata e di un assassino gentile ,6,2009,Italy,Adriano Aprà,Film historian
Franco Piavoli, At the First Breath of Wind ,7,2003,Italy,Adriano Aprà,Film historian
Pippo Delbono, Sangue ,8,2013,Italy,Adriano Aprà,Film historian
Marco De Angelis and Antonio Di Trapani, Terra ,9,2015,Italy,Adriano Aprà,Film historian
Yervant Gianikian and Angela Ricci Lucchi, Oh! Man ,10,2004,Italy,Adriano Aprà,Film historian
Charlie Kaufman," Synecdoche, New York ",1,2008,US,Michael Arbeiter,Nerdist
David Lynch, Mulholland Drive ,2,2001,US,Michael Arbeiter,Nerdist
Michel Gondry, Eternal Sunshine of the Spotless Mind ,3,2004,US,Michael Arbeiter,Nerdist
Darren Aronofsky, Black Swan ,4,2010,US,Michael Arbeiter,Nerdist
Rick Alverson, The Comedy ,5,2012,US,Michael Arbeiter,Nerdist
Lars von Trier, Melancholia ,6,2011,US,Michael Arbeiter,Nerdist
Quentin Tarantino, Inglourious Basterds ,7,2009,US,Michael Arbeiter,Nerdist
Joel and Ethan Coen, Inside Llewyn Davis ,8,2013,US,Michael Arbeiter,Nerdist
Jim Jarmusch, Only Lovers Left Alive ,9,2013,US,Michael Arbeiter,Nerdist
Ari Folman, The Congress ,10,2013,US,Michael Arbeiter,Nerdist
Paul Thomas Anderson, The Master ,1,2012,Turkey,Ali Arikan,Dipnot TV
Spike Lee, 25th Hour ,2,2002,Turkey,Ali Arikan,Dipnot TV
Michael Winterbottom, 24 Hour Party People ,3,2002,Turkey,Ali Arikan,Dipnot TV
David Lynch, Mulholland Drive ,4,2001,Turkey,Ali Arikan,Dipnot TV
Nuri Bilge Ceylan, Once Upon a Time in Anatolia ,5,2011,Turkey,Ali Arikan,Dipnot TV
David Fincher, Zodiac ,6,2007,Turkey,Ali Arikan,Dipnot TV
Joel and Ethan Coen, A Serious Man ,7,2009,Turkey,Ali Arikan,Dipnot TV
Tomas Alfredson, Tinker Tailor Soldier Spy ,8,2011,Turkey,Ali Arikan,Dipnot TV
Shane Carruth, Primer ,9,2004,Turkey,Ali Arikan,Dipnot TV
Wong Kar-wai, In the Mood for Love ,10,2000,Turkey,Ali Arikan,Dipnot TV
"Paris, 1871) (Peter Watkins"," La commune (Paris, 1871) ",1,1871,US,Michael Atkinson,The Village Voice
Apichatpong Weerasethakul, Uncle Boonmee Who Can Recall His Past Lives ,2,2010,US,Michael Atkinson,The Village Voice
Wong Kar-wai, 2046 ,3,2004,US,Michael Atkinson,The Village Voice
Spike Jonze, Adaptation ,4,2002,US,Michael Atkinson,The Village Voice
Carlos Reygadas, Battle in Heaven ,5,2005,US,Michael Atkinson,The Village Voice
Michael Haneke, Caché ,6,2005,US,Michael Atkinson,The Village Voice
David Lynch, Inland Empire ,7,2006,US,Michael Atkinson,The Village Voice
David Lynch, Mulholland Drive ,8,2001,US,Michael Atkinson,The Village Voice
Raoul Ruiz, Mysteries of Lisbon ,9,2010,US,Michael Atkinson,The Village Voice
Michel Gondry, Eternal Sunshine of the Spotless Mind ,10,2004,US,Michael Atkinson,The Village Voice
Paul Thomas Anderson, There Will Be Blood ,1,2007,Brazil,Ana Maria Bahiana,Freelance film critic
David Lynch, Mulholland Drive ,2,2001,Brazil,Ana Maria Bahiana,Freelance film critic
Alfonso Cuarón, Children of Men ,3,2006,Brazil,Ana Maria Bahiana,Freelance film critic
Fernando Meirelles and Kátia Lund, City of God ,4,2002,Brazil,Ana Maria Bahiana,Freelance film critic
Guillermo Del Toro, Pan's Labyrinth ,5,2006,Brazil,Ana Maria Bahiana,Freelance film critic
Christopher Nolan, Inception ,6,2010,Brazil,Ana Maria Bahiana,Freelance film critic
Brad Bird, The Incredibles ,7,2004,Brazil,Ana Maria Bahiana,Freelance film critic
Alejandro González Iñárritu, Birdman ,8,2014,Brazil,Ana Maria Bahiana,Freelance film critic
Joel and Ethan Coen, No Country For Old Men ,9,2007,Brazil,Ana Maria Bahiana,Freelance film critic
Ang Lee, Brokeback Mountain ,10,2005,Brazil,Ana Maria Bahiana,Freelance film critic
Wong Kar-wai, In the Mood for Love ,1,2000,Canada,Cameron Bailey,Toronto Film Festival
Steve McQueen, 12 Years a Slave ,2,2013,Canada,Cameron Bailey,Toronto Film Festival
Hayao Miyazaki, Spirited Away ,3,2001,Canada,Cameron Bailey,Toronto Film Festival
Andrea Arnold, Fish Tank ,4,2009,Canada,Cameron Bailey,Toronto Film Festival
Xavier Dolan, Mommy ,5,2014,Canada,Cameron Bailey,Toronto Film Festival
Pedro Almodóvar, Talk to Her ,6,2002,Canada,Cameron Bailey,Toronto Film Festival
Abderrahmane Sissako, Timbuktu ,7,2014,Canada,Cameron Bailey,Toronto Film Festival
Ava DuVernay, Selma ,8,2014,Canada,Cameron Bailey,Toronto Film Festival
Michael Haneke, The White Ribbon ,9,2009,Canada,Cameron Bailey,Toronto Film Festival
Lucrecia Martel, The Headless Woman ,10,2008,Canada,Cameron Bailey,Toronto Film Festival
Wes Anderson, The Royal Tenenbaums ,1,2001,UK,Lindsay Baker,BBC Culture
Todd Haynes, Far From Heaven ,2,2002,UK,Lindsay Baker,BBC Culture
Wes Anderson, Moonrise Kingdom ,3,2012,UK,Lindsay Baker,BBC Culture
Sofia Coppola, Lost in Translation ,4,2003,UK,Lindsay Baker,BBC Culture
Tom Ford, A Single Man ,5,2009,UK,Lindsay Baker,BBC Culture
Hayao Miyazaki, Spirited Away ,6,2001,UK,Lindsay Baker,BBC Culture
Lee Unkrich, Toy Story 3 ,7,2010,UK,Lindsay Baker,BBC Culture
Michel Gondry, Eternal Sunshine of the Spotless Mind ,8,2004,UK,Lindsay Baker,BBC Culture
Luca Guadagnino, I Am Love ,9,2009,UK,Lindsay Baker,BBC Culture
Richard Kelly, Donnie Darko ,10,2001,UK,Lindsay Baker,BBC Culture
Paul Thomas Anderson, Inherent Vice ,1,2014,US,Miriam Bale,Freelance film critic
Jean-Luc Godard, Film socialisme ,2,2010,US,Miriam Bale,Freelance film critic
David Cronenberg, A History of Violence ,3,2005,US,Miriam Bale,Freelance film critic
Evan Goldberg and Seth Rogen, This Is the End ,4,2013,US,Miriam Bale,Freelance film critic
Sofia Coppola, Somewhere ,5,2010,US,Miriam Bale,Freelance film critic
Leos Carax, Holy Motors ,6,2012,US,Miriam Bale,Freelance film critic
Chantal Akerman, Almayer's Folly ,7,2011,US,Miriam Bale,Freelance film critic
Joel and Ethan Coen, Inside Llewyn Davis ,8,2013,US,Miriam Bale,Freelance film critic
Jacques Rivette, The Story of Marie and Julien ,9,2003,US,Miriam Bale,Freelance film critic
Spike Lee, Bamboozled ,10,2000,US,Miriam Bale,Freelance film critic
Richard Linklater, Boyhood ,1,2014,UK,Nicholas Barber,BBC Culture
Jonathan Glazer, Under the Skin ,2,2013,UK,Nicholas Barber,BBC Culture
Duke Johnson and Charlie Kaufman, Anomalisa ,3,2015,UK,Nicholas Barber,BBC Culture
Steve McQueen, 12 Years a Slave ,4,2013,UK,Nicholas Barber,BBC Culture
"Eric Darnell, Tom McGrath and Conrad Vernon", Madagascar 3: Europe's Most Wanted ,5,2012,UK,Nicholas Barber,BBC Culture
Mike Leigh, Another Year ,6,2010,UK,Nicholas Barber,BBC Culture
Julian Schnabel, The Diving Bell and the Butterfly ,7,2007,UK,Nicholas Barber,BBC Culture
Alfonso Cuarón, Children of Men ,8,2006,UK,Nicholas Barber,BBC Culture
David Fincher, The Social Network ,9,2010,UK,Nicholas Barber,BBC Culture
Asghar Farhadi, A Separation ,10,2011,UK,Nicholas Barber,BBC Culture
Andrew Stanton, WALL-E ,1,2008,Argentina,Diego Batlle,La Nacion
Wong Kar-wai, In the Mood for Love ,2,2000,Argentina,Diego Batlle,La Nacion
Hayao Miyazaki, Spirited Away ,3,2001,Argentina,Diego Batlle,La Nacion
Richard Linklater, Boyhood ,4,2014,Argentina,Diego Batlle,La Nacion
Nanni Moretti, The Son's Room ,5,2001,Argentina,Diego Batlle,La Nacion
Mariano Llinás, Extraordinary Stories ,6,2008,Argentina,Diego Batlle,La Nacion
David Lynch, Mulholland Drive ,7,2001,Argentina,Diego Batlle,La Nacion
David Fincher, The Social Network ,8,2010,Argentina,Diego Batlle,La Nacion
Gus Van Sant, Elephant ,9,2003,Argentina,Diego Batlle,La Nacion
Apichatpong Weerasethakul, Uncle Boonmee Who Can Recall His Past Lives ,10,2010,Argentina,Diego Batlle,La Nacion
David Lynch, Mulholland Drive ,1,2001,France,NT Binh,Positif
Pedro Almodóvar, Talk to Her ,2,2002,France,NT Binh,Positif
Hou Hsiao-hsien, The Assassin ,3,2015,France,NT Binh,Positif
Clint Eastwood, Million Dollar Baby ,4,2004,France,NT Binh,Positif
Wong Kar-wai, In the Mood for Love ,5,2000,France,NT Binh,Positif
Andrey Zvyagintsev, Leviathan ,6,2014,France,NT Binh,Positif
Jia Zhangke, A Touch of Sin ,7,2013,France,NT Binh,Positif
Nuri Bilge Ceylan, Distant ,8,2002,France,NT Binh,Positif
Terrence Malick, The New World ,9,2005,France,NT Binh,Positif
Jacques Audiard, A Prophet ,10,2009,France,NT Binh,Positif
Abderrahmane Sissako, Timbuktu ,1,2014,UK,Lizelle Bisschoff,University of Glasgow
Abdellatif Kechiche, Blue Is the Warmest Color ,2,2013,UK,Lizelle Bisschoff,University of Glasgow
Ousmane Sembèène, Moolaadé ,3,2004,UK,Lizelle Bisschoff,University of Glasgow
Asghar Farhadi, A Separation ,4,2011,UK,Lizelle Bisschoff,University of Glasgow
Juan José Campanella, The Secret in Their Eyes ,5,2009,UK,Lizelle Bisschoff,University of Glasgow
Park Chan-wook, Oldboy ,6,2003,UK,Lizelle Bisschoff,University of Glasgow
Wong Kar-wai, In the Mood for Love ,7,2000,UK,Lizelle Bisschoff,University of Glasgow
Catherine Breillat, Fat Girl ,8,2001,UK,Lizelle Bisschoff,University of Glasgow
J. A. Bayona, The Orphanage ,9,2007,UK,Lizelle Bisschoff,University of Glasgow
Thomas Vinterberg, The Hunt ,10,2012,UK,Lizelle Bisschoff,University of Glasgow
Harmony Korine, Spring Breakers ,1,2012,US,Christian Blauvelt,BBC Culture
Guy Maddin, My Winnipeg ,2,2007,US,Christian Blauvelt,BBC Culture
Roman Polanski, The Ghost Writer ,3,2010,US,Christian Blauvelt,BBC Culture
Baz Luhrmann, Moulin Rouge! ,4,2001,US,Christian Blauvelt,BBC Culture
George Lucas, Star Wars: Episode III – Revenge of the Sith ,5,2005,US,Christian Blauvelt,BBC Culture
Pacho Velez and Stephanie Spray, Manakamana ,6,2013,US,Christian Blauvelt,BBC Culture
David Fincher, The Curious Case of Benjamin Button ,7,2008,US,Christian Blauvelt,BBC Culture
Roy Andersson," You, The Living ",8,2007,US,Christian Blauvelt,BBC Culture
Bong Joon-ho, Mother ,9,2009,US,Christian Blauvelt,BBC Culture
Joel and Ethan Coen, A Serious Man ,10,2009,US,Christian Blauvelt,BBC Culture
Ousmane Sembène, Moolaadé ,1,2004,US,Mahen Bonetti,African Film Festival Inc
Abderrahmane Sissako, Timbuktu ,2,2014,US,Mahen Bonetti,African Film Festival Inc
Jihan El-Tahri, Cuba: An African Odyssey ,3,2007,US,Mahen Bonetti,African Film Festival Inc
Mahamat-Saleh Haroun," Sexe, gombo et beurre salé ",4,2008,US,Mahen Bonetti,African Film Festival Inc
Ngozi Onwurah, Shoot the Messenger ,5,2006,US,Mahen Bonetti,African Film Festival Inc
Bazi Gete, Red Leaves ,6,2014,US,Mahen Bonetti,African Film Festival Inc
Jean-Marie Téno, The Colonial Misunderstanding ,7,2004,US,Mahen Bonetti,African Film Festival Inc
Andrew Dosunmu, Restless City ,8,2011,US,Mahen Bonetti,African Film Festival Inc
Khalo Matabane, Conversations on a Sunday Afternoon ,9,2005,US,Mahen Bonetti,African Film Festival Inc
Amma Asante, Belle ,10,2013,US,Mahen Bonetti,African Film Festival Inc
Darren Aronofsky, Requiem for a Dream ,1,2000,Germany,Andreas Borcholte,Spiegel Online
Lars von Trier, Antichrist ,2,2009,Germany,Andreas Borcholte,Spiegel Online
Alfonso Cuarón, Children of Men ,3,2006,Germany,Andreas Borcholte,Spiegel Online
Jean-Pierre and Luc Dardenne, The Child ,4,2005,Germany,Andreas Borcholte,Spiegel Online
Joel and Ethan Coen, No Country For Old Men ,5,2007,Germany,Andreas Borcholte,Spiegel Online
Andrea Arnold, Fish Tank ,6,2009,Germany,Andreas Borcholte,Spiegel Online
Terrence Malick, The Tree of Life ,7,2011,Germany,Andreas Borcholte,Spiegel Online
Christopher Nolan, Inception ,8,2010,Germany,Andreas Borcholte,Spiegel Online
Quentin Tarantino, Kill Bill: Vol. 1 ,9,2003,Germany,Andreas Borcholte,Spiegel Online
Gaspar Noé, Irreversible ,10,2002,Germany,Andreas Borcholte,Spiegel Online
Michael Haneke, Amour ,1,2012,India,Utpal Borpujari,Freelance film critic
Asghar Farhadi, A Separation ,2,2011,India,Utpal Borpujari,Freelance film critic
Wong Kar-wai, In the Mood for Love ,3,2000,India,Utpal Borpujari,Freelance film critic
Jacques Audiard, A Prophet ,4,2009,India,Utpal Borpujari,Freelance film critic
Mira Nair, Monsoon Wedding ,5,2001,India,Utpal Borpujari,Freelance film critic
László Nemes, Son of Saul ,6,2015,India,Utpal Borpujari,Freelance film critic
Raam Reddy, Thithi ,7,2015,India,Utpal Borpujari,Freelance film critic
Abdellatif Kechiche, Blue Is the Warmest Color ,8,2013,India,Utpal Borpujari,Freelance film critic
Danis Tanovic, No Man's Land ,9,2001,India,Utpal Borpujari,Freelance film critic
Ari Folman, Waltz with Bashir ,10,2008,India,Utpal Borpujari,Freelance film critic
Jean-Luc Godard, In Praise of Love ,1,2001,US,Richard Brody,The New Yorker
Martin Scorsese, The Wolf of Wall Street ,2,2013,US,Richard Brody,The New Yorker
Claude Lanzmann, The Last of the Unjust ,3,2013,US,Richard Brody,The New Yorker
Abbas Kiarostami, Like Someone In Love ,4,2012,US,Richard Brody,The New Yorker
Wes Anderson, The Grand Budapest Hotel ,5,2014,US,Richard Brody,The New Yorker
Josephine Decker, Butter on the Latch ,6,2013,US,Richard Brody,The New Yorker
Josh and Benny Safdie, Heaven Knows What ,7,2014,US,Richard Brody,The New Yorker
Miranda July, The Future ,8,2011,US,Richard Brody,The New Yorker
Leos Carax, Holy Motors ,9,2012,US,Richard Brody,The New Yorker
Sara Fattahi, Coma ,10,2015,US,Richard Brody,The New Yorker
Cristian Mungiu," 4 Months, 3 Weeks & 2 Days ",1,2007,Israel,Hannah Brown,Jerusalem Post
Wes Anderson, The Royal Tenenbaums ,2,2001,Israel,Hannah Brown,Jerusalem Post
Joel and Ethan Coen, No Country For Old Men ,3,2007,Israel,Hannah Brown,Jerusalem Post
Ari Folman, Waltz with Bashir ,4,2008,Israel,Hannah Brown,Jerusalem Post
Avi Nesher, The Matchmaker ,5,2010,Israel,Hannah Brown,Jerusalem Post
Joseph Cedar, Footnote ,6,2011,Israel,Hannah Brown,Jerusalem Post
Jean-Pierre and Luc Dardenne, The Son ,7,2002,Israel,Hannah Brown,Jerusalem Post
Wong Kar-wai, In the Mood for Love ,8,2000,Israel,Hannah Brown,Jerusalem Post
Kenneth Lonergan, You Can Count On Me ,9,2000,Israel,Hannah Brown,Jerusalem Post
Eytan Fox, Yossi & Jagger ,10,2002,Israel,Hannah Brown,Jerusalem Post
David Lynch, Mulholland Drive ,1,2001,Australia,Luke Buckmaster,The Guardian/BBC Culture
Paul Thomas Anderson, There Will Be Blood ,2,2007,Australia,Luke Buckmaster,The Guardian/BBC Culture
Joel and Ethan Coen," O Brother, Where Art Thou? ",3,2000,Australia,Luke Buckmaster,The Guardian/BBC Culture
Hayao Miyazaki, Spirited Away ,4,2001,Australia,Luke Buckmaster,The Guardian/BBC Culture
Alfonso Cuarón, Children of Men ,5,2006,Australia,Luke Buckmaster,The Guardian/BBC Culture
Wong Kar-wai, In the Mood for Love ,6,2000,Australia,Luke Buckmaster,The Guardian/BBC Culture
Jennifer Kent, The Babadook ,7,2014,Australia,Luke Buckmaster,The Guardian/BBC Culture
Asghar Farhadi, A Separation ,8,2011,Australia,Luke Buckmaster,The Guardian/BBC Culture
Michael Haneke, Caché ,9,2005,Australia,Luke Buckmaster,The Guardian/BBC Culture
Richard Linklater, Boyhood ,10,2014,Australia,Luke Buckmaster,The Guardian/BBC Culture
Michael Haneke, The White Ribbon ,1,2009,Cuba,Luciano Castillo,Cinemateca de Cuba
Wong Kar-wai, In the Mood for Love ,2,2000,Cuba,Luciano Castillo,Cinemateca de Cuba
Kim Ki-duk," Spring, Summer, Fall, Winter…and Spring ",3,2003,Cuba,Luciano Castillo,Cinemateca de Cuba
Lars von Trier, Melancholia ,4,2011,Cuba,Luciano Castillo,Cinemateca de Cuba
Gus Van Sant, Elephant ,5,2003,Cuba,Luciano Castillo,Cinemateca de Cuba
Aleksandr Sokurov, Russian Ark ,6,2002,Cuba,Luciano Castillo,Cinemateca de Cuba
Fernando Meirelles and Kátia Lund, City of God ,7,2002,Cuba,Luciano Castillo,Cinemateca de Cuba
Jacques Audiard, A Prophet ,8,2009,Cuba,Luciano Castillo,Cinemateca de Cuba
Cristian Mungiu," 4 Months, 3 Weeks & 2 Days ",9,2007,Cuba,Luciano Castillo,Cinemateca de Cuba
Pete Docter, Inside Out ,10,2015,Cuba,Luciano Castillo,Cinemateca de Cuba
Joel and Ethan Coen, Inside Llewyn Davis ,1,2013,US,Monica Castillo,New York Times Watching
Vincent Paronnaud and Marjane Satrapi, Persepolis ,2,2007,US,Monica Castillo,New York Times Watching
Andrea Arnold, Fish Tank ,3,2009,US,Monica Castillo,New York Times Watching
Guillermo Del Toro, Pan's Labyrinth ,4,2006,US,Monica Castillo,New York Times Watching
Wong Kar-wai, In the Mood for Love ,5,2000,US,Monica Castillo,New York Times Watching
Hayao Miyazaki, Spirited Away ,6,2001,US,Monica Castillo,New York Times Watching
George Miller, Mad Max: Fury Road ,7,2015,US,Monica Castillo,New York Times Watching
Joe Cornish, Attack the Block ,8,2011,US,Monica Castillo,New York Times Watching
Michel Gondry, Eternal Sunshine of the Spotless Mind ,9,2004,US,Monica Castillo,New York Times Watching
Wes Anderson, The Royal Tenenbaums ,10,2001,US,Monica Castillo,New York Times Watching
Juan José Campanella, The Secret in Their Eyes ,1,2009,Colombia,Samuel Castro,El Colombiano
Richard Linklater, Before Sunset ,2,2004,Colombia,Samuel Castro,El Colombiano
Michel Gondry, Eternal Sunshine of the Spotless Mind ,3,2004,Colombia,Samuel Castro,El Colombiano
Brad Bird and Jan Pinkava, Ratatouille ,4,2007,Colombia,Samuel Castro,El Colombiano
Sarah Polley, Stories We Tell ,5,2012,Colombia,Samuel Castro,El Colombiano
Guillermo Del Toro, Pan's Labyrinth ,6,2006,Colombia,Samuel Castro,El Colombiano
Alejandro González Iñárritu, Amores Perros ,7,2000,Colombia,Samuel Castro,El Colombiano
Asghar Farhadi, A Separation ,8,2011,Colombia,Samuel Castro,El Colombiano
Steven Spielberg, Minority Report ,9,2002,Colombia,Samuel Castro,El Colombiano
Baz Luhrmann, Moulin Rouge! ,10,2001,Colombia,Samuel Castro,El Colombiano
David Lynch, Mulholland Drive ,1,2001,US,Justin Chang,Los Angeles Times
Terrence Malick, The Tree of Life ,2,2011,US,Justin Chang,Los Angeles Times
Wong Kar-wai, In the Mood for Love ,3,2000,US,Justin Chang,Los Angeles Times
Richard Linklater, Boyhood ,4,2014,US,Justin Chang,Los Angeles Times
Lee Chang-dong, Secret Sunshine ,5,2007,US,Justin Chang,Los Angeles Times
David Fincher, Zodiac ,6,2007,US,Justin Chang,Los Angeles Times
Christopher Nolan, The Dark Knight ,7,2008,US,Justin Chang,Los Angeles Times
Jean-Pierre and Luc Dardenne, The Son ,8,2002,US,Justin Chang,Los Angeles Times
Ang Lee, Brokeback Mountain ,9,2005,US,Justin Chang,Los Angeles Times
Claire Denis, 35 Shots of Rum ,10,2008,US,Justin Chang,Los Angeles Times
Tommy Lee Jones, The Three Burials of Melquiades Estrada ,1,2005,Senegal,Enrico Chiesa,AfricaFilms.TV
Paul Thomas Anderson, There Will Be Blood ,2,2007,Senegal,Enrico Chiesa,AfricaFilms.TV
Asghar Farhadi, A Separation ,3,2011,Senegal,Enrico Chiesa,AfricaFilms.TV
Alejandro González Iñárritu, Birdman ,4,2014,Senegal,Enrico Chiesa,AfricaFilms.TV
Takeshi Kitano, The Blind Swordsman: Zatoichi ,5,2003,Senegal,Enrico Chiesa,AfricaFilms.TV
Xavier Dolan, Mommy ,6,2014,Senegal,Enrico Chiesa,AfricaFilms.TV
Lars von Trier, Dancer in the Dark ,7,2000,Senegal,Enrico Chiesa,AfricaFilms.TV
Alain Gomis, Tey ,8,2012,Senegal,Enrico Chiesa,AfricaFilms.TV
Ken Loach, Sweet Sixteen ,9,2002,Senegal,Enrico Chiesa,AfricaFilms.TV
Newton I. Aduaka, Ezra ,10,2007,Senegal,Enrico Chiesa,AfricaFilms.TV
Joel and Ethan Coen, No Country For Old Men ,1,2007,South Korea,Cho Seongyong,Freelance film critic
Richard Linklater, Boyhood ,2,2014,South Korea,Cho Seongyong,Freelance film critic
David Lynch, Mulholland Drive ,3,2001,South Korea,Cho Seongyong,Freelance film critic
Cameron Crowe, Almost Famous ,4,2000,South Korea,Cho Seongyong,Freelance film critic
Charlie Kaufman," Synecdoche, New York ",5,2008,South Korea,Cho Seongyong,Freelance film critic
Guillermo Del Toro, Pan's Labyrinth ,6,2006,South Korea,Cho Seongyong,Freelance film critic
Steven Spielberg, Minority Report ,7,2002,South Korea,Cho Seongyong,Freelance film critic
David Fincher, The Social Network ,8,2010,South Korea,Cho Seongyong,Freelance film critic
Terrence Malick, The Tree of Life ,9,2011,South Korea,Cho Seongyong,Freelance film critic
Bong Joon-ho, Memories of Murder ,10,2003,South Korea,Cho Seongyong,Freelance film critic
David Lynch, Mulholland Drive ,1,2001,UK,Robbie Collin,The Telegraph
Apichatpong Weerasethakul, Tropical Malady ,2,2004,UK,Robbie Collin,The Telegraph
Hayao Miyazaki, Spirited Away ,3,2001,UK,Robbie Collin,The Telegraph
Jonathan Glazer, Under the Skin ,4,2013,UK,Robbie Collin,The Telegraph
